mode,n,a,b,expected,observed,pass,elapsed_ms
lowbits,3,0,0,0,0,1,
lowbits,3,0,1,0,0,1,
lowbits,3,0,2,0,0,1,
lowbits,3,0,3,0,0,1,
lowbits,3,0,4,0,0,1,
lowbits,3,0,5,0,0,1,
lowbits,3,0,6,0,0,1,
lowbits,3,0,7,0,0,1,
lowbits,3,1,0,0,0,1,
lowbits,3,1,1,1,1,1,
lowbits,3,1,2,2,2,1,
lowbits,3,1,3,3,3,1,
lowbits,3,1,4,4,4,1,
lowbits,3,1,5,5,5,1,
lowbits,3,1,6,6,6,1,
lowbits,3,1,7,7,7,1,
lowbits,3,2,0,0,0,1,
lowbits,3,2,1,2,2,1,
lowbits,3,2,2,4,4,1,
lowbits,3,2,3,6,6,1,
lowbits,3,2,4,0,0,1,
lowbits,3,2,5,2,2,1,
lowbits,3,2,6,4,4,1,
lowbits,3,2,7,6,6,1,
lowbits,3,3,0,0,0,1,
lowbits,3,3,1,3,3,1,
lowbits,3,3,2,6,6,1,
lowbits,3,3,3,1,1,1,
lowbits,3,3,4,4,4,1,
lowbits,3,3,5,7,7,1,
lowbits,3,3,6,2,2,1,
lowbits,3,3,7,5,5,1,
lowbits,3,4,0,0,0,1,
lowbits,3,4,1,4,4,1,
lowbits,3,4,2,0,0,1,
lowbits,3,4,3,4,4,1,
lowbits,3,4,4,0,0,1,
lowbits,3,4,5,4,4,1,
lowbits,3,4,6,0,0,1,
lowbits,3,4,7,4,4,1,
lowbits,3,5,0,0,0,1,
lowbits,3,5,1,5,5,1,
lowbits,3,5,2,2,2,1,
lowbits,3,5,3,7,7,1,
lowbits,3,5,4,4,4,1,
lowbits,3,5,5,1,1,1,
lowbits,3,5,6,6,6,1,
lowbits,3,5,7,3,3,1,
lowbits,3,6,0,0,0,1,
lowbits,3,6,1,6,6,1,
lowbits,3,6,2,4,4,1,
lowbits,3,6,3,2,2,1,
lowbits,3,6,4,0,0,1,
lowbits,3,6,5,6,6,1,
lowbits,3,6,6,4,4,1,
lowbits,3,6,7,2,2,1,
lowbits,3,7,0,0,0,1,
lowbits,3,7,1,7,7,1,
lowbits,3,7,2,6,6,1,
lowbits,3,7,3,5,5,1,
lowbits,3,7,4,4,4,1,
lowbits,3,7,5,3,3,1,
lowbits,3,7,6,2,2,1,
lowbits,3,7,7,1,1,1,
lowbits,3,ALL,ALL,-,-,1,6763.1
full,3,0,0,0,0,1,
full,3,0,1,0,0,1,
full,3,0,2,0,0,1,
full,3,0,3,0,0,1,
full,3,0,4,0,0,1,
full,3,0,5,0,0,1,
full,3,0,6,0,0,1,
full,3,0,7,0,0,1,
full,3,1,0,0,0,1,
full,3,1,1,1,1,1,
full,3,1,2,2,2,1,
full,3,1,3,3,3,1,
full,3,1,4,4,4,1,
full,3,1,5,5,5,1,
full,3,1,6,6,6,1,
full,3,1,7,7,7,1,
full,3,2,0,0,0,1,
full,3,2,1,2,2,1,
full,3,2,2,4,4,1,
full,3,2,3,6,6,1,
full,3,2,4,8,8,1,
full,3,2,5,10,10,1,
full,3,2,6,12,12,1,
full,3,2,7,14,14,1,
full,3,3,0,0,0,1,
full,3,3,1,3,3,1,
full,3,3,2,6,6,1,
full,3,3,3,9,9,1,
full,3,3,4,12,12,1,
full,3,3,5,15,15,1,
full,3,3,6,18,18,1,
full,3,3,7,21,21,1,
full,3,4,0,0,0,1,
full,3,4,1,4,4,1,
full,3,4,2,8,8,1,
full,3,4,3,12,12,1,
full,3,4,4,16,16,1,
full,3,4,5,20,20,1,
full,3,4,6,24,24,1,
full,3,4,7,28,28,1,
full,3,5,0,0,0,1,
full,3,5,1,5,5,1,
full,3,5,2,10,10,1,
full,3,5,3,15,15,1,
full,3,5,4,20,20,1,
full,3,5,5,25,25,1,
full,3,5,6,30,30,1,
full,3,5,7,35,35,1,
full,3,6,0,0,0,1,
full,3,6,1,6,6,1,
full,3,6,2,12,12,1,
full,3,6,3,18,18,1,
full,3,6,4,24,24,1,
full,3,6,5,30,30,1,
full,3,6,6,36,36,1,
full,3,6,7,42,42,1,
full,3,7,0,0,0,1,
full,3,7,1,7,7,1,
full,3,7,2,14,14,1,
full,3,7,3,21,21,1,
full,3,7,4,28,28,1,
full,3,7,5,35,35,1,
full,3,7,6,42,42,1,
full,3,7,7,49,49,1,
full,3,ALL,ALL,-,-,1,10510.8
